symbol,trades,win_rate,pf,cagr,avg_return,median_return,best_year,worst_year,volatility,sharpe,sortino,max_drawdown,ulcer_index,calmar_ratio
NVDA_GoogleFinance_AutoUpToDate,76,69.74,3.73,42.26,41.6,43.5,80.23,-4.88,26.8,1.55,8.52,14.0,4.25,3.02
TOTAL,76,69.74,3.73,42.26,41.6,43.5,80.23,-4.88,26.8,1.55,8.52,14.0,4.25,3.02
