year,trades,start_balance,end_balance,realistic_compounded_return
2020,10,50000.0,75564.51,51.13
2021,15,75564.51,104742.94,38.61
2022,1,104742.94,99522.48,-4.98
2023,15,99522.48,176790.08,77.64
2024,14,176790.08,286844.36,62.25
2025,12,286844.36,406831.87,41.83
2026,9,406831.87,462366.57,13.65
