date,symbol,signal,close,executed_entry,executed_exit
2020-01-27,NVDA_GoogleFinance_AutoUpToDate,BUY,5.97125144,done,""
2020-02-24,NVDA_GoogleFinance_AutoUpToDate,BUY,6.793603636,done,""
2020-03-25,NVDA_GoogleFinance_AutoUpToDate,SELL,6.10985753,"",""
2020-04-21,NVDA_GoogleFinance_AutoUpToDate,BUY,6.704127119,done,""
2020-05-06,NVDA_GoogleFinance_AutoUpToDate,SELL,7.40759903,"",""
2020-05-28,NVDA_GoogleFinance_AutoUpToDate,BUY,8.444647969,done,""
2020-07-10,NVDA_GoogleFinance_AutoUpToDate,SELL,10.43171383,"",""
2020-08-11,NVDA_GoogleFinance_AutoUpToDate,BUY,10.80078203,done,""
2020-08-18,NVDA_GoogleFinance_AutoUpToDate,SELL,12.20513256,"",done
2020-08-20,NVDA_GoogleFinance_AutoUpToDate,BUY,12.08592577,done,""
2020-09-15,NVDA_GoogleFinance_AutoUpToDate,SELL,12.93581272,"",""
2020-09-18,NVDA_GoogleFinance_AutoUpToDate,BUY,12.13746864,done,""
2020-10-15,NVDA_GoogleFinance_AutoUpToDate,BUY,13.91065381,done,""
2020-11-20,NVDA_GoogleFinance_AutoUpToDate,BUY,13.03215171,done,""
2020-12-01,NVDA_GoogleFinance_AutoUpToDate,SELL,13.33311772,"",""
2020-12-10,NVDA_GoogleFinance_AutoUpToDate,BUY,12.92099938,done,""
2020-12-14,NVDA_GoogleFinance_AutoUpToDate,SELL,13.25616994,"",done
2020-12-15,NVDA_GoogleFinance_AutoUpToDate,SELL,13.30771549,"",""
2020-12-23,NVDA_GoogleFinance_AutoUpToDate,BUY,12.9578532,done,""
2021-01-14,NVDA_GoogleFinance_AutoUpToDate,BUY,13.1480986,done,""
2021-01-26,NVDA_GoogleFinance_AutoUpToDate,BUY,13.38217017,done,""
2021-02-02,NVDA_GoogleFinance_AutoUpToDate,SELL,13.50319015,"",done
2021-02-03,NVDA_GoogleFinance_AutoUpToDate,SELL,13.47704386,"",""
2021-02-22,NVDA_GoogleFinance_AutoUpToDate,BUY,14.29903347,done,""
2021-03-05,NVDA_GoogleFinance_AutoUpToDate,BUY,12.41226725,done,""
2021-03-11,NVDA_GoogleFinance_AutoUpToDate,SELL,12.94630022,"",done
2021-03-25,NVDA_GoogleFinance_AutoUpToDate,BUY,12.48971485,done,""
2021-04-20,NVDA_GoogleFinance_AutoUpToDate,BUY,15.1161394,done,""
2021-05-07,NVDA_GoogleFinance_AutoUpToDate,SELL,14.75844349,"",""
2021-06-09,NVDA_GoogleFinance_AutoUpToDate,BUY,17.29918044,done,""
2021-06-18,NVDA_GoogleFinance_AutoUpToDate,SELL,18.57532294,"",done
2021-07-22,NVDA_GoogleFinance_AutoUpToDate,SELL,19.52732226,"",""
2021-07-27,NVDA_GoogleFinance_AutoUpToDate,BUY,19.1426358,done,""
2021-08-10,NVDA_GoogleFinance_AutoUpToDate,BUY,19.86815844,done,""
2021-08-24,NVDA_GoogleFinance_AutoUpToDate,SELL,21.71883913,"",""
