date,open,high,low,close,volume
2019-01-02T00:00:00Z,143.9757063,148.5145788,143.8708164,147.684995,58576672
2019-01-03T00:00:00Z,145.5109132,146.1402526,142.5453893,142.860059,74820225
2019-01-04T00:00:00Z,145.2629916,149.7065096,144.6908648,148.9722802,74709320
2019-01-07T00:00:00Z,149.3441626,151.4801027,148.8578549,150.7458733,52059331
2019-01-08T00:00:00Z,152.128513,152.6720335,149.8972185,152.1094421,49388694
2019-01-09T00:00:00Z,152.7006398,154.0165314,152.0617649,153.3490502,46491747
2019-01-10T00:00:00Z,152.1857257,153.8734997,151.3275355,153.7876807,38943414
2019-01-11T00:00:00Z,152.8818133,153.3871919,152.3668992,153.2250894,30176643
2019-01-14T00:00:00Z,151.9282686,152.5290018,151.2226456,151.871056,30710234
2019-01-15T00:00:00Z,152.5671435,155.0463596,152.4813245,154.8365798,40874224
2019-01-16T00:00:00Z,155.0940369,156.1715423,154.7507608,154.8079735,33812190
2019-01-17T00:00:00Z,154.3121303,156.7245982,154.0642086,156.0285106,39328959
2019-01-18T00:00:00Z,157.125087,158.3074823,156.2096841,157.5732529,57183243
2019-01-22T00:00:00Z,156.4385348,156.5148184,153.2918375,154.4170202,56711694
2019-01-23T00:00:00Z,155.2084622,155.9140853,152.8722778,154.6172645,38106062
2019-01-24T00:00:00Z,155.1226432,155.8473371,154.5314455,155.6184864,32413351
2019-01-25T00:00:00Z,156.8676299,157.9546708,156.3336449,157.4778985,36466069
2019-01-28T00:00:00Z,155.4468484,155.5422028,154.2358467,155.5326674,33491216
2019-01-29T00:00:00Z,155.6184864,155.6566282,153.5111527,154.0642086,30784175
2019-01-30T00:00:00Z,155.8091953,158.5554039,155.3228876,157.9832771,41346533
2019-01-31T00:00:00Z,158.9558927,161.1395099,158.7365774,160.3480679,37258361
2019-02-01T00:00:00Z,159.5566258,160.7676275,159.2324206,159.6710512,32143672
2019-02-04T00:00:00Z,159.6996575,161.654424,159.5566258,161.654424,26718781
2019-02-05T00:00:00Z,161.8737393,163.2754499,161.8069912,163.084741,28156368
2019-02-06T00:00:00Z,163.1228828,163.4089462,161.8642039,162.5984332,27970006
2019-02-07T00:00:00Z,161.1776517,161.5781405,159.1942788,160.414816,42036193
2019-02-08T00:00:00Z,159.0131054,160.7580921,158.8319319,160.7294857,29020747
2019-02-11T00:00:00Z,161.311148,161.7021013,160.1764298,160.5769186,21434088
2019-02-12T00:00:00Z,161.7497785,163.1896309,161.4637151,162.9512448,29722073
2019-02-13T00:00:00Z,163.6759387,164.1622465,162.8844966,163.0656701,26094136
2019-02-14T00:00:00Z,162.4840079,163.8475767,161.9404874,163.2659145,30326830
2019-02-15T00:00:00Z,164.5055225,164.5436643,163.1896309,163.9524666,32521685
2019-02-19T00:00:00Z,163.447088,164.772515,163.4184816,164.2766718,19487679
2019-02-20T00:00:00Z,164.3910972,165.0395075,163.361269,164.2480655,32592995
2019-02-21T00:00:00Z,163.790364,164.2576009,162.7796067,163.6473323,25207401
2019-02-22T00:00:00Z,163.9906084,164.9727594,163.9143248,164.8583341,27735358
2019-02-25T00:00:00Z,166.117013,166.5461081,165.3446418,165.4590672,32608754
2019-02-26T00:00:00Z,165.0013657,166.1551548,164.7820505,165.6307052,21939717
2019-02-27T00:00:00Z,164.8678695,165.7260597,163.7808286,165.5258153,25162014
2019-02-28T00:00:00Z,165.0109012,165.7355951,164.6771606,165.1443974,25085470
2019-03-01T00:00:00Z,166.3363283,166.5365726,165.134862,166.288651,31431156
2019-03-04T00:00:00Z,167.3852274,167.6236135,164.4578453,166.3172574,38063458
2019-03-05T00:00:00Z,166.4412182,166.9561323,165.6211698,166.4412182,22319863
2019-03-06T00:00:00Z,166.6033208,166.6319271,165.2302165,165.497209,27194581
2019-03-07T00:00:00Z,165.0776493,165.134862,162.8558903,163.4661589,39407443
2019-03-08T00:00:00Z,161.6353531,163.3040563,161.4732506,163.2182373,39303225
2019-03-11T00:00:00Z,163.895254,166.7272816,163.8666476,166.6128562,30518408
2019-03-12T00:00:00Z,167.0514867,167.9573542,166.650998,167.5282591,33953500
2019-03-13T00:00:00Z,168.3959847,169.6641991,168.1575985,168.786938,42426135
2019-03-14T00:00:00Z,168.9013634,169.1016077,168.4531974,168.5008746,23751477
2019-03-15T00:00:00Z,169.1588204,170.5700665,169.0443951,170.0646878,38191958
2019-03-18T00:00:00Z,169.9915525,170.9850406,169.6476527,170.469191,32935125
2019-03-19T00:00:00Z,171.1665433,171.9498704,170.3163467,171.0423572,36893341
2019-03-20T00:00:00Z,171.05191,172.7714087,170.2685828,171.7206039,50104996
2019-03-21T00:00:00Z,171.2047543,174.6533045,171.1856488,174.4049325,42428481
2019-03-22T00:00:00Z,173.6502636,174.1183494,170.3927688,170.5742715,70794543
2019-03-25T00:00:00Z,169.9533414,170.8417491,169.0171699,170.2494773,46336524
2019-03-26T00:00:00Z,171.5677596,172.6090116,170.1730551,171.0423572,33248121
2019-03-27T00:00:00Z,171.300282,171.6823929,168.7019284,169.9437886,37096697
2019-03-28T00:00:00Z,170.3832161,170.9754878,169.3133058,170.3354522,30368235
2019-03-29T00:00:00Z,171.6537346,171.7874733,170.6029298,171.6250762,35205511
2019-04-01T00:00:00Z,173.3923388,174.1087966,172.6854338,173.8986356,30969472
2019-04-02T00:00:00Z,174.089691,174.7297267,173.6502636,174.5577768,22645151
2019-04-03T00:00:00Z,175.5417122,176.6498336,175.0163098,175.5608177,31633476
2019-04-04T00:00:00Z,175.6085816,176.2486172,174.4813546,175.4939483,28530828
2019-04-05T00:00:00Z,176.0002452,176.506542,175.7900842,176.4014615,25674660
2019-04-08T00:00:00Z,176.1148784,176.9937333,175.4175262,176.8504417,22697543
2019-04-09T00:00:00Z,176.2486172,176.8313362,175.8569536,176.2295117,25631886
2019-04-10T00:00:00Z,176.4587782,177.2325526,176.2677227,177.1752359,24562958
2019-04-11T00:00:00Z,177.4713718,177.4713718,176.4301198,176.754914,20654094
2019-04-12T00:00:00Z,177.5382412,177.6337689,176.7835724,177.5191357,24989136
2019-04-15T00:00:00Z,177.5286885,177.7484022,176.3632504,177.547794,21073046
2019-04-16T00:00:00Z,178.1973824,178.5508349,177.6146634,178.1591713,27195709
2019-04-17T00:00:00Z,179.3532676,179.5252175,178.254699,178.7801014,29651575
2019-04-18T00:00:00Z,179.0762373,179.3914787,177.9585631,179.0093679,28580864
2019-04-22T00:00:00Z,178.2260407,180.4136252,178.0923019,179.5156647,17936033
2019-04-23T00:00:00Z,179.9741977,182.0184906,179.7162729,181.7987769,33665561
2019-04-24T00:00:00Z,181.9516212,182.1808877,181.168294,181.2256107,24977108
2019-04-25T00:00:00Z,182.5821041,182.668079,180.9772386,181.961174,29517497
2019-04-26T00:00:00Z,181.6745909,182.1617822,180.1557004,182.1235711,26359537
